SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1477,Kozhikode,Balussery,"Balussery, Kerala 673612",Block Office,Phase-1
1478,Kozhikode,Balussery GP,"Kairali Rd,balussery,Kerala 673612",Panchayat office,Phase-2
1479,Kozhikode,Bird sanctuary,"Kadalundi Bird Sanctuary Near Kadalundi Railway Gate Kadalundi, Kerala 673302",Tourist Place,Phase-2
1480,Kozhikode,Botanical Garden,"Malabar Botanical Garden and Institute for Plant Sciences PB. No. 1, GA College Post, Pokkunnu Kozhikode, Kerala 673014",Tourist Place,Phase-2
1481,Kozhikode,Changaroth GP,"Kadiyangad, Changaroth, Kerala 673525",Panchayat office,Phase-2
1482,Kozhikode,Chelannur,"Chelanur,kerala-673616",Block Office,Phase-1
1483,Kozhikode,Cheruvannur GP,"Cheruvannur Calicut, Kerala",Panchayat office,Phase-2
1484,Kozhikode,Chest Hospital,"Kozhikode Institute Of Chest Diseases, Chest Hospital Building Medical College, Government Medical College Campus, Kozhikode, Kerala 673008",Hospital,Phase-1
1485,Kozhikode,Chorode GP,"National Highway 17, Kainatty, Chorode, Kerala 673104",Panchayat office,Phase-2
1486,Kozhikode,City Rationing Office North,"Kozhikode Civil Station, Kozhikode State Highway 29
Eranhippalam Kozhikode, Kerala 673020",Civi Station/Mini Civil station,Phase-1
1487,Kozhikode,City Rationing Office South,"Civil Station Juma Masjid, B-Block, 2nd floor, SH29, Eranhippalam, Kozhikode, Kerala 673020",Civi Station/Mini Civil station,Phase-2
1488,Kozhikode,Collectorate,"Wayanad Rd, Civil Station, Eranhippalam, Kozhikode, Kerala 673020",Civi Station/Mini Civil station,Phase-1
1489,Kozhikode,Corporation Annex Office Beypore,"Beypore Rd, Kozhikode, Kerala 673015",Corporation  Office,Phase-2
1490,Kozhikode,Corporation Office,"Mananchira,kozhikode,Kerala-673032",Corporation  Office,Phase-1
1491,Kozhikode,District Ayurveda Hospital,"Kozhikode Kozhikode, Kerala 673005",Hospital,Phase-1
1492,Kozhikode,District Court Kozhikode,"Court Rd, Mananchira, Kozhikode, Kerala 673032",Court,Phase-2
1493,Kozhikode,District Treasury,"Ground Civil station, Wayanad Rd, Near RTO Office, Kozhikode, Kerala 673020",Govt Office,Phase-1
1494,Kozhikode,DTPC Kozhikode,"The Secretary District Tourism Promotion Council Mananchira, Kozhikode, Kerala 673001",Govt Office,Phase-1
1495,Kozhikode,Edachery GP,"Edacheri gp,edacheri(p.o)-673502",Panchayat office,Phase-2
1496,Kozhikode,ELATHOOR PS,"ELATHOOR POLICE STATION, near beach,Near Post Office, Kannur Rd, Near, Elathur, Kerala 673303",Police Station,Phase-2
1497,Kozhikode,Eramala GP,"Orkkatteri, Kerala 673106",Panchayat office,Phase-2
1498,Kozhikode,Feroke bus stand,"Feroke, Feroke Bus Station Kadalundi Road Feroke, Kerala 673631",Bus stand,Phase-1
1499,Kozhikode,Gandhi Park,"Gandhi Park Vellayil Kozhikode, Kerala 673032",Park,Phase-2
1500,Kozhikode,"General Hospital, Beach","Red Cross Rd, Vellayil, Kozhikode, Kerala 673032",Hospital,Phase-1
1501,Kozhikode,"General Hospital, Kottaparamb ","Kozhikode Government Women and Children Hospital GH Rd Palayam Kozhikode, Kerala 673001",Hospital,Phase-1
1502,Kozhikode,Govt Arts & Science college Meenchanda ,"Govt Arts & Science coolege Opposite NSS Higher Secondary School, Meenchanda - Beypore Rd, Meenchanda, Kozhikode, Kerala 673018",University/College,Phase-2
1503,Kozhikode,Homeo Medical College,"Kozhikode, Karaparambu,673010",Hospital,Phase-1
1504,Kozhikode,Kadalundi gp,"Kozhikode, Kadalundi, Kerala 673001",Panchayat office,Phase-2
1505,Kozhikode,Kakkodi GP,"Kozhikode Balussery Rd, Kozhikode, Kerala 673611",Panchayat office,Phase-2
1506,Kozhikode,Kakkoor GP,"Pavandoor to Kakkur Rd, Kakkur, Kerala 673613",Panchayat office,Phase-2
1507,Kozhikode,Kasaba village office,"Kasaba village office,Near jail,kozhikode",Village Office,Phase-2
1508,Kozhikode,Kavilumpara GP,"Kavilumpara GP, KAVILUMPARA PO Thottilpalam,Kerala 673513",Panchayat office,Phase-2
1509,Kozhikode,Kayakodi GP,"Kayakodi GP-new building THALIYIL PO,KUTTIADI VIA-673508",Panchayat office,Phase-2
1510,Kozhikode,Keezhariyur GP,"Keezhariyur GP, Keezhariyur PO",Panchayat office,Phase-2
1511,Kozhikode,Kidson corner,"Kozhikode Palayam Palayam
Kozhikode, Kerala 673001",Library,Phase-1
1512,Kozhikode,Kodenchery Bus stand,"Kodenchery Bus Station Thiruvambady - Kodencheri Rd Kodenchery, Kerala 673580",Bus stand,Phase-1
1513,Kozhikode,Koduvally,"Koduvally,kerala-673572",Municipal Office,Phase-1
1514,Kozhikode,Koilandy Mini Civil Station,"Koilandy Mini Civil Station, Koilandy, Kozhikkode Pin- 673305",Civi Station/Mini Civil station,Phase-2
1515,Kozhikode,KOODARANJI GP,"Koodaranji, Kerala 673603",Panchayat office,Phase-2
1516,Kozhikode,Koorachundu Bus Station,"Bus stand complex,Koorachundu,Kerala-673527",Bus stand,Phase-2
1517,Kozhikode,Kozhikode District Panchayath,"Kozhikode District Panchayath-Civil station,kozhikode-673020",Civi Station/Mini Civil station/Panchayath Office,Phase-2
1518,Kozhikode,Krishibhava chakkittapara,"Krishibhavan chakkittapara,chakkittapara vo,kozhikode,",Govt Office,Phase-2
1519,Kozhikode,KrishnaMenon Museum,"East Hill, Krishna Menon Museum, East Hill
Kozhikode, East Hill, Kozhikode, Kerala 673005",Tourist Place,Phase-2
1520,Kozhikode,KSRTC Bus stand,"Thottilpalam, KSRTC Bus Station, Thottilpalam, Kerala 673513",Bus stand,Phase-1
1521,Kozhikode,KSRTC Bus stand,"Thamarassery, Thamarassery New Bus Terminal Link Rd Thamarassery, Kerala 673573",Bus stand,Phase-2
1522,Kozhikode,"KSRTC Bus stand Kozhikode, KSRTC Bus Station","Kozhikode, KSRTC Bus Station, Mavoor Rd, Kozhikode, Kerala 673004",Bus stand,Phase-2
1523,Kozhikode,"Kunnamangalam, Kerala 673570","Kunnamangalm
Kunnamangalam, Kerala 673570",Panchayat office,Phase-1
1524,Kozhikode," Mini Civil Station,kunnamangalam-673570","Kunnamangalam Mini Civil Station, Kunnamangalam, Kozhikkode",Civi Station/Mini Civil station,Phase-2
1525,Kozhikode,Kunnumal,"Kunnummal Block Panchayath Office
Meethalvayal - Vattoli Rd
Pathirippatta, Kerala 673507",Block Office,Phase-1
1526,Kozhikode,Kunnummel GP,"Panchayath Office Kunnummel, Kunnumel Pulimath Rd, Pulimath, Kerala 695601",Panchayat office,Phase-2
1527,Kozhikode,Kuttiady GP,"Urath, Kuttiady, Kerala 673508 ",Panchayat office,Phase-2
1528,Kozhikode,Kutyadi Bus stand,"Kutyadi, Kuttiyady Bus Bus Stand, Nadapuram - Kuttiady Rd, Kuttiady, Kerala 673508",Bus stand,Phase-1
1529,Kozhikode,Leprosy Hospital,"Kozhikode Government Dermatology Hospital (Chevayoor) Golf Link Road Chevayoor Kozhikode, Kerala 673017",Hospital,Phase-2
1530,Kozhikode,Manachira,"Kozhikode Mananchira  Maithanam, Kozhikode, Kerala 673001",Library,Phase-1
1531,Kozhikode,Maniyur GP,"Palayad PO, Maniyur, Kerala 673521",Panchayat office,Phase-2
1532,Kozhikode,Maruthonkara GP,MARUTHOMKARA PO-673513,Panchayat office,Phase-2
1533,Kozhikode,Mavoor GP,"Grama Panchayath Mavoor , Mavoor-Calicut Road, Mavoor P.O Kerala 673661",Panchayat office,Phase-2
1534,Kozhikode,Medical College hospital (Casuality),"Kozhikode Medical College Casuality Building
Medical College Rd Ummalathoor Kozhikode, Kerala 673008",Hospital,Phase-2
1535,Kozhikode,MedicalCcollegeHospital (Women & Children),"Kozhikode Medical College Rd Ummalathoor
Kozhikode, Kerala 673008",Hospital,Phase-1
1536,Kozhikode,Meppayur GP,"Meppayur GP,Meppayur PO",Panchayat office,Phase-2
1537,Kozhikode,Meppayyur Bus stand,"Meppayyur Meppayur, Kerala 673524",Bus stand,Phase-2
1538,Kozhikode,Mofusil bus stand,"Mofussil Bus Stand Building, Circle No. 3, Ward No. 5.3, Mavoor Road, Rajaji Road, New Bus Stand, EMS Stadium, Arayidathupalam, Kozhikode, Kerala 673004",Bus stand,Phase-1
1539,Kozhikode,Mukkom bus stand,"Mukkom, Mukkam Bus Stand, By pass Rd Mukkam, Kerala 673602",Bus stand,Phase-1
1540,Kozhikode,Mukkom Mini Civil Station,"Mukkom Mini Civil Station,  Agastiamuzhi, Mukkam, Kozhikkode, Pin - 673602",Civi Station/Mini Civil station,Phase-2
1541,Kozhikode,Municipaliity,"Feroke 
Feroke City Rd
Feroke, Kerala 673631",Municipal Office,Phase-1
1542,Kozhikode,Municipaliity payyoli,"payyoli
Payyoli Muncipality Office
Payyoli, Kerala 673522",Municipal Office,Phase-2
1543,Kozhikode,Municipality,"Koyilandy
Koyilandy Muncipal Office.
Koyilandy, Kerala 673305",Municipal Office,Phase-1
1544,Kozhikode,Municipality,"Vatakara, Vatakara Municipality Office 673101",Municipal Office,Phase-1
1545,Kozhikode,Municipality,"Mukkom
Mukkam, Kerala 673602",Municipal Office,Phase-1
1546,Kozhikode,Municipality,"Ramanattukara
Ramanattukara Muncipality
Ramanattukara, Kerala 673632
India",Municipal Office,Phase-1
1547,Kozhikode,Nadapuram Bus stand,"Nadapuram, Nadapuram Bus Stand, Kakkemvelli Nadapuram, Kerala 673504",Bus stand,Phase-1
1548,Kozhikode,Nadapuram GP,"KALLACHI  Nadapuram, Kozhikode, Kerala - 673504",Panchayat office,Phase-2
1549,Kozhikode,Nanminda GP,"Nanminda, Kozhikode ,Kerala 673613",Panchayat office,Phase-2
1550,Kozhikode,Narikuni Bus Station,"Narikkuni Bus Station, Poonoor - Narikkuni Rd
Narikkuni, Kerala 673585",Bus stand,Phase-1
1551,Kozhikode,Naripatta GP,"CHEKONNU PO,KAKAKTTIL VIA-673506",Panchayat office,Phase-2
1552,Kozhikode,Nellikode VO,"Nellikode village office, Nellikode",Village Office,Phase-2
1553,Kozhikode,Nochad GP,"Nochad Panchayath Office, Muliyangal. Kozhikode, 673525",Panchayat office,Phase-2
1554,Kozhikode,OLAVANNA GP,"Mathara, Kozhikode, Kerala 673014",Panchayat office,Phase-2
1555,Kozhikode,Ommassery bus stand,"Omassery , Omashery Bus Turminal, SH34 Omassery, Kerala 673582",Bus stand,Phase-1
1556,Kozhikode,Panthalayini block office,"Panthalayini Block office,koyilandy,673305",Block Office,Phase-2
1557,Kozhikode,Perambra Mini Civil Station,"Perambra Mini Civil Station, Perambra, Kozhikode",Civi Station/Mini Civil station,Phase-2
1558,Kozhikode,Permbra,"Block Office Rd, Perambra, Kerala 673525",Block Office,Phase-1
1559,Kozhikode,Peruvayal GP,"Kuttikkattoor, Kerala 673008",Panchayat office,Phase-2
1560,Kozhikode,Planatorium,"Regional Science Centre And Planetarium
JafferKhan Colony New Bustand, Near Bhima Jewelry Kozhikode, Kerala 673006",Tourist Place,Phase-2
1561,Kozhikode,Playam Bus stand,"Palayam Bus Stand Building, MM Ali Rd, Palayam, Kozhikode, Kerala 673004",Bus stand,Phase-1
1562,Kozhikode,Purameri GP,"Purameri gp,purameri(p.)-673503",Panchayat office,Phase-2
1563,Kozhikode,Puthiyappa harbour,"Kozhikode Puthiyappa Fishing Harbour. Kozhikode, Kerala 673303",Tourist Place,Phase-1
1564,Kozhikode,Ramanattukara bus stand,"Ramanattukara Kozhikode - Palakkad Hwy Ramanattukara, Kerala 673633",Bus stand,Phase-2
1565,Kozhikode,"RDO’s Office,Kozhikode Civil Station","Kozhikode Civil Station, Eranhippalam Kozhikode, Kerala 673020",Civi Station/Mini Civil station,Phase-2
1566,Kozhikode,RTO Offices,"KozhikodeKozhikode District Panchayath
Civil Station",Civi Station/Mini Civil station,Phase-1
1567,Kozhikode,RTO Offices,"National highway 212,koduvally,kerala 673572",Govt Office,Phase-1
1568,Kozhikode,RTO Offices,"Koyilandy
Sub Regional Transport Office Quilandy
Sub Regional Transport Office,
Koyilandy, Kerala 673305",Govt Office,Phase-2
1569,Kozhikode,RTO Offices,"Vatakara
RTO (Mobile Enforcement Squad) Vadakara",Govt Office,Phase-2
1570,Kozhikode,Rural District Treasury,"Thamarassery
District Treasury
National Highway 212
Thamarassery, Kerala 673573",Govt Office,Phase-1
1571,Kozhikode,Tali Devi kshetram,"Tali Mahakshetram, Palayam
Kozhikode, Kerala 673002",Tourist Place,Phase-2
1572,Kozhikode,Taluk Hopital Balussery,"Balussery Government Hospital Compound Balussery, Kerala 673612",Hospital,Phase-2
1573,Kozhikode,Taluk Hopital Perambra T,"Perambra Taluk Hospital. Kallode Hospital Canal Rd Perambra, Kerala 673525",Hospital,Phase-2
1574,Kozhikode,Taluk Hopital Thamarassery ,"Thamarassery Taluk Govt Hospital National Highway 212 Thamarassery, Kerala 673573",Hospital,Phase-2
1575,Kozhikode,"Taluk Hopital, Kutyadi ","Kutyadi Govt Hospital Urath Kuttiady, Kerala 673508",Hospital,Phase-2
1576,Kozhikode,"Taluk Hopital,Vadakara ","Vadakara District Hospital Nut Street Vadakara, Kerala State 673104",Hospital,Phase-2
1577,Kozhikode,Taluk office  Vatakara ,"Vatakara Taluk Office Vadakara Vadakara Mini Civil Station Court Road,Badagara Vadakara, Kerala 673104",Taluk Office,Phase-2
1578,Kozhikode,Taluk Office Koyilandy,Koyilandy  Koyilandy Kerala 673305,Taluk Office,Phase-2
1579,Kozhikode,Taluk Office Kozhikode National Highway,"Kozhikode National Highway 212 Eranhippalam Kozhikode, Kerala 673020",Taluk Office,Phase-2
1580,Kozhikode,Taluk Office Thamarassery ,"Thamarassery Mini Civil Station,Thamarassery 673573",Taluk Office,Phase-2
1581,Kozhikode,Taluk supply Office,"Kozhikode
Civil Station, Kozhikode
State Highway 29
Eranhippalam
Kozhikode, Kerala 673020",Taluk Office,Phase-1
1582,Kozhikode,Taluk supply Office Koyilandy,"Koyilandy
Koyilandy, Kerala 673305",Taluk Office,Phase-2
1583,Kozhikode,Taluk supply Office thamarassery,"thamarassery
Taluk Supply Office, Royal Tower, Chungam, Thamarassery, Pin-673573",Taluk Office,Phase-2
1584,Kozhikode,Taluk supply Office Vatakara,"Vatakara
Taluk Supply Office, Mini Civil Station, Vadakara
673101",Taluk Office,Phase-2
1585,Kozhikode,Thalakkulathur GP,"Annassery, Kerala 673317",Panchayat office,Phase-2
1586,Kozhikode,Thiruvallur GP,"Thiruvallur, Calicut, Kerala",Panchayat office,Phase-2
1587,Kozhikode,Thiruvambady bus stand,"Thiruvambady Thiruvambady Bus Terminal Bus Stand Rd Thiruvambady, Kerala 673603",Bus stand,Phase-1
1588,Kozhikode,Thodannur,"Thodannur,kerala 673541",Block Office,Phase-1
1589,Kozhikode,Thuraiyur GP,"Thurayur GP, Payyoli Angadi PO",Panchayat office,Phase-2
1590,Kozhikode,Town Hall,"Akshaya District Project Office, Zamorin Square Building, Link Road, CDA Complex, Palayam, Kozhikode, Kerala 673002",Akshaya,Phase-1
1591,Kozhikode,Treasury calicut,"Treasury calicut-opposit post office,Kozhikode",Govt Office,Phase-2
1592,Kozhikode,Treasury Perambra,"Treasury Perambra ,Perambra-Eravattur-Akkuparamb Rd, Perambra, Kerala 673525",Govt Office,Phase-2
1593,Kozhikode,Tuneri,"Tuneri,Kerala 673505",Block Office,Phase-1
1594,Kozhikode,Tuneri GP,"Tuneri GP, Tuneri PO",Panchayat office,Phase-2
1595,Kozhikode,Ulliyeri Bus stand,"Ulliyeri, Ulliyery Bus Stand, Ulliyeri, Kerala 673620",Bus stand,Phase-2
1596,Kozhikode,Ulliyeri GP,"Ulliyeri GP, Ulliyeri,673620",Panchayat office,Phase-2
1597,Kozhikode,Unnikulam GP,"Koyilandy - Edavanna Rd, Ekarool, Kerala 673574",Panchayat office,Phase-2
1598,Kozhikode,Valayam GP,"Grama Panchayath Valayam, Parakkadavu Valayam Road, Valayam P.O , Kozhikode, Kerala 673517",Panchayat office,Phase-2
1599,Kozhikode,Vanimel GP,"KODIYURA PO,KALLACHI VIA-673506",Panchayat office,Phase-2
1600,Kozhikode,Vatakara Mini Civil Station,"Vatakara Mini Civil Station, Vatakara, Kozhikkode, Pin- 673101",Civi Station/Mini Civil station,Phase-2
1601,Kozhikode,Vatakara New Bus stand,"Vatakara, New Bus Stand, Vadakara, Kerala 673101",Bus stand,Phase-2
1602,Kozhikode,Veitnary complex,"Veitnary complex, near YMCA,kozhikode",Hospital,Phase-2
1603,Kozhikode,Velam GP,"POOLAKKOL PO,KAKKATTIL VIA",Panchayat office,Phase-2
1604,Kozhikode,VELLAYIL Matsya Bhavan,"VELLAYIL CRC OFFICE /MATSYA BHAVAN VELLAYIL,Mathsya fed , Near vellayil police station, Beach Rd, West Hill, Kozhikode, Kerala 673005",Fisheries Department,Phase-2
1605,Kozhikode,Vengery village office,"Vengery village office-civil station,civil station,eranhipalam,kozhikode",Village Office,Phase-2
1606,Kozhikode,VO AYANCHERI ,"Village Office Ayencheri new building, Ayanchery,Kerala 673544",Village Office,Phase-2
1607,Kozhikode,VO CHEKKIAD ,"VILLAGE OFFICE CHEKYAD ,THUNERI, KOZHIKODE,PIN: 673509",Village Office,Phase-2
1608,Kozhikode,VO CHEMBANODA ,"Grama Panchayath Office, Thamarassery, New Bus Stand Road, Thamarassery, Kerala,673573",Village Office,Phase-2
1609,Kozhikode,VO chevayur,"Village Office Chevayur, Calicut, Calicut - 673001",Village Office,Phase-2
1610,Kozhikode,VO CHORODE ,"VILLAGE OFFICE CHORODE, VATAKARA, KOZHIKODE, PIN: 673106",Village Office,Phase-2
1611,Kozhikode,VO KANTHALAD,"Govt ayurveda hospital Thalayad P.O,Kozhikode  Kerala 673574",Hospital,Phase-2
1612,Kozhikode,VO KOODARANJI ,"VILLAGE OFFICE KOODARANJI,KOODARANJI,THAMARASSERY,PIN:673603",Village Office,Phase-2
1613,Kozhikode,VO KOORACHUNDU ,"YMDC building,Near village office koorachunde,koorachunde,kerala-673527",Village Office,Phase-2
1614,Kozhikode,VO MADAVUR ,"Panchayath Office,Madavoor, Kunnamangalam Nanminda Rd, Kerala 673585",Village Office,Phase-2
1615,Kozhikode,VO MANIYUR ,"VILLAGE OFFICE MANIYUR,MANIYUR, VATAKARA,,PIN: 673533",Village Office,Phase-2
1616,Kozhikode,VO PUDUPPADY ,"Village Office, Block 8,Raroth, Thamarasseri,Kozhikode - 673615",Village Office,Phase-2
1617,Kozhikode,VO THIRUVAMBADY ,"VILLAGE OFFICE  THIRUVAMBADY, THIRUVAMBADI, THAMARASSERY,KOZHIKODE,673004",Village Office,Phase-2
1618,Kozhikode,VO VELOM ,"Velom Panchayath Community Hall, Cherapuram, Kerala 673507",Village Office,Phase-2
1619,Kozhikode,VO VILANGAD ,"VILLAGE OFFICE VILANGAD,VILANGAD,KUTYADI,KOZHiKODE, PIN: 673513",Village Office,Phase-2
1620,Wayanad,KATTYKULAM                                                                         ,"PANCHAYATH OFFICE,KATTIKULAM PO,MANATHAVADY,WAYANAD-670646",Panchayat office,Phase-1
1621,Wayanad,OLD BUS STAND KALPETTA.,"TRIBAL EXTENTION OFFICE,KALPETTA,WAYANAD -673121",Bus Stand ,Phase-1
1622,Wayanad,Ambalavayal GP,"Ambalavayal gramapanchath Ambalavayal, Kerala 673593",Panchayat office,Phase-2
1623,Wayanad,AMBALAVAYAL JUCTION,"TOWN POLICE  STATION,AMBALAVAYAL P O,WAYANAD -673593",Police Station,Phase-2
1624,Wayanad,APPAPPARA,"VILLAGE OFFICE,THIRUNELLY PO,APPAPPARA,WAYANAD-670646",Village Office,Phase-2
1625,Wayanad,BANASURA SAGAR,"BANASURA SAGAR -KSEB,BANASURASAGAR,THRIODE NOTH  P O,WAYAND-673575",Tourist Place,Phase-2
1626,Wayanad,BEENACHI,"BLOCK RESOURCE CENTRE,BEENACHI, P O,BATHERY,WAYANAD -673592",Govt Office,Phase-2
1627,Wayanad,Block Office Sulthan Bathery ,"Sulthan Bathery-Devarshola-Gudalur Rd, Kerala 673592",Block Office,Phase-2
1628,Wayanad,BUS STAND MANANTHAVADY.,"KSRTC TICKET COUNTER,MANATHAVADY  P O,WAYANAD -670645",Bus Stand ,Phase-1
1629,Wayanad,CHEERAL ROAD,"WATER AUTHORITY,SULTHAN BATHERY,WAYANAD-673592",Govt Office,Phase-2
1630,Wayanad,CHEERAL ROAD,"SUB RTO,CHEERAL ROAD,BATHERY,WAYANAD -673592",Govt Office,Phase-2
1631,Wayanad,CHUNGAM,"POLICE STATION,SULTHAN BATHERY,WAYANAD -673592",Police Station,Phase-2
1632,Wayanad,CIVIL STATION KALPETTA.,"CIVIL STATION,KALPETTA,WAYANAD- 673121",Civi Station/Mini Civil station,Phase-1
1633,Wayanad,"COLLECTORATE GARDEN, KALPETTA ","DTPC SECURITY CABIN, COLLECTARE GARDEN, KALPETTA -673121",Govt Office,Phase-1
1634,Wayanad,"District Court Complex, Kalpetta","Near Civil Station, Kalpetta, Kerala",Court,Phase-2
1635,Wayanad,"DTPC DORMITORY, MEENANGADI","OPP.FCI, GROUND FLOOR, DORMITORY OFFICE ,Meenangady-673591",Govt Office,Phase-2
1636,Wayanad,DWARAKA JUNCTION,"Govt AYURVEDIC DISPENSARY,DWARAKA,WAYANAD -670645",Hospital,Phase-2
1637,Wayanad,EDAVAKA PANCHAYATH OFFICE JUNCTION.,"PANCHAYATH OFFICE,EDAVAKA P O,EDAVAKA,WAYANAD-670645",Panchayat office,Phase-1
1638,Wayanad,EDEKKAL CAVE,"DTPC,AMBALAVAYAL PO,EDEKKAL,WAYANAD -673593",Govt Office,Phase-2
1639,Wayanad,GANDHI JUNCTION.                                                               ,"BLOCK OFFICE,MANATHAVADY              P O,WAYANAD -670645",Block Office,Phase-1
1640,Wayanad,"HERITAGE MUSEUM, AMBALAVAYAL","TICKET COUNTER,  WAYANAD HERITAGE MUSEUM, AMBALAVAYAL-673593",Tourist Place,Phase-1
1641,Wayanad,JAIN TEMPLE,"KSEB,SULTHAN BATHERY,MANIKUNI,WAYANAD- 673592",Govt Office,Phase-2
1642,Wayanad,KALLODY JUNCTION.                                                            ,"VILLAGE OFFICE,EDAVAKA PO,KALLODY,WAYANAD -670645",Village Office,Phase-2
1643,Wayanad,KALPETTA,"MUNICIPALITY OFFICE,KALPETTA,WAYANAD -673121",Municipal Office,Phase-1
1644,Wayanad,KALPETTA,"KAINATTY Gvt HOSPITAL,KALPETTA NORTH,WAYANAD -673121",Hospital,Phase-2
1645,Wayanad,LAKKIDI,"Block office ,Mandayapuram, Kalpetta, Kerala 673122",Block Office,Phase-1
1646,Wayanad,KAMBALAKKAD,"KSEB,KAMBALAKKAD P O,KAMBALAKKAD,WAYANAD-673124",Govt Office,Phase-2
1647,Wayanad,KAMBALAKKAD(NORTH),"POLICE STATION,KAMBALAKKAD P O,KAMBALAKKAD,WAYANAD-673124",Police Station,Phase-2
1648,Wayanad,KANIYAMBATTTA,"GRAMAPANCHAYATH,KANIYAMBATTA,KANIYAMBATTA P O,WAYANAD-673124",Panchayat office,Phase-1
1649,Wayanad,KARALAD LAKE,"TOURISAM INFORAMATION OFFICE,KARALAD,MANJOORA P O,WAYANAD -673575",Govt Office,Phase-2
1650,Wayanad,KARAPUZHA,"KSEB OFFICE,KARAPUZHA,VAZHAVATTA P O,WAYANAD-673122",Govt Office,Phase-2
1651,Wayanad,KARAPUZHA DAM,"DTPC TOURISM FECILITAION CENTER, KARAPUZHA- 673122",Govt Office,Phase-2
1652,Wayanad,KATTIKULAM,"FOREST OFFICE,KATTIKULAM PO,MANATHAVADY,WAYANAD-670646",Govt Office,Phase-2
1653,Wayanad,KAVUMANNAM,"PANCHAYATH OFFICE,KAVUMANNAM P O,WAYANAD -673122",Panchayat office,Phase-1
1654,Wayanad,KENICHIRA,"POOTHADI GRAMA PANCHAYATH,KENICHIRA P O,WAYANAD -673596",Panchayat office,Phase-1
1655,Wayanad,KENICHIRA ,"VILLAGE OFFICE,KENICHIRA P O,WAYANAD -673596",Village Office,Phase-2
1656,Wayanad,KOLIYADI,"PANCHAYATH OFFICE,KOLIYADI,NENMENI P O,WAYANAD -673592",Panchayat office,Phase-1
1657,Wayanad,KOROME JUNCTION.,"PANCHAYATH OFFICE,THONDERNADU P O,KOREM,WAYANAD -670731",Panchayat office,Phase-1
1658,Wayanad,KOTTATHARA GP,"Kottathara Grama Panchayath, Venniyode P.O, Wayanad, Pin 673122",Panchayat office,Phase-2
1659,Wayanad,KSRTC GARAGE,"KSRTC,MANATHAVADY                              P O,WAYANAD-670645",Bus stand,Phase-1
1660,Wayanad,KUNCHOME ,"FOREST OFFICE,KUNCHOME P O,WAYANAD -670731",Govt Office,Phase-2
1661,Wayanad,KUPPADITHARA,"VILLAGE OFFICE,MUNDAKUTTY PO,KUPPADITHARA,WAYANAD -670645",Village Office,Phase-2
1662,Wayanad,MADAKKARA TOWN,"VILLAGE OFFICE,MADAKKARA,NENMENI P O,WAYANAD -673592",Village Office,Phase-2
1663,Wayanad,MADIYOORKUNI,"KSRTC GARAGE,KALPETTA,WAYANAD-673121",Bus stand,Phase-2
1664,Wayanad,MANATHAVADY,"Kottathara vridha samskarikanilayam,Kottathara PO,WAYANAD-673122",Hospital,Phase-2
1665,Wayanad,MEENANGADI (NEAR FCI),"AGRICULTURE OFFICE,MEENANGADY P O,WAYANAD-673591",Govt Office,Phase-2
1666,Wayanad,MEENANGADI TOWN,"PANCHAYATH OFFICE,MEENANGADY PO,WAYANAD-673591",Panchayat office,Phase-1
1667,Wayanad,MEPPADI,"PANCHAYATH OFFICE,MEPPADY P O,WAYAND -673577",Panchayat office,Phase-1
1668,Wayanad,MINI CIVIL STATION,"MINI CIVIL STATION, MANATHAVADY,WAYANAD- 670645",Civi Station/Mini Civil station,Phase-1
1669,Wayanad,MINI CIVIL STATION,"MINI CIVIL STAION,SULTHAN BATHERY,WAYANAD-673592",Civi Station/Mini Civil station,Phase-2
1670,Wayanad,MULLAN KOLLY JUNCTION,"GRAMAPANCHAYATH,MULLANKOLLY P.O,WAYANAD -673579",Panchayat office,Phase-1
1671,Wayanad,Muppainad Grama Panchayat Office,"Muppainad Grama Panchayat Office Vaduvanchal, Kerala 673581",Panchayat office,Phase-2
1672,Wayanad,MUTTIL JUNCTION,"VILLAGE OFFICE,MUTTIL P O,MUTTIL JUNCTION,WAYANAD-673122",Village Office,Phase-2
1673,Wayanad,NADVAYAL,"VILLAGE OFFICE,NADAVAYAL P O,NADAVAYAL,WAYANAD-670721",Village Office,Phase-2
1674,Wayanad,NAIKATTY,"PANCHAYATH OFFICE,NAIKATTY P O,WAYANAD -673592",Panchayat office,Phase-1
1675,Wayanad,NEW BUS STAND KALPETTA.,"TAX OFFICE,KALPETTA P O,KALPETTA,WAYANAD -673121",Govt Office,Phase-2
1676,Wayanad,NIRAPPAM PHC,"NIRAPPAM PHC,noolpuzha PO,Naikatty",Hospital,Phase-2
1677,Wayanad,OLD VYTHIRI,"POOKODE VETERANARY UNIVERSITY,OLD VYTHIRI ,VYTHIRI P O,WAYANAD-673576",Hospital,Phase-2
1678,Wayanad,PADINJARATHARA TOWN,"PANCHAYATH OFFICE,PADINJARATHARA P O,WAYAND -673575",Panchayat office,Phase-1
1679,Wayanad,PALLITHAZHE,"GVT AYURVEDIC HOPITAL,KALPETTA,WAYANAD-673121",Hospital,Phase-2
1680,Wayanad,Panamaram Block H/Q,"Panamaram Block Meethalpaakam, Panamaram, Kerala 67072",Block Office,Phase-2
1681,Wayanad,PANAMARANM JUNCTION,"PANCHAYATH OFFICE,PANAMARAM P O,PANAMARAM,WAYANAD-670721",Panchayat office,Phase-1
